date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:33:24	2774/2774	---MC-	200	added ('OK')	application/rss+xml	etag:%223f773b3fd2b3bb3ee760af4bf6b50235%22	http://hireanhacker.com/tag/hill/feed/	G:/hire%20an%20hacker/hireanhacker.com/tag/hill/feed/index.html	(from http://hireanhacker.com/tag/hill/)
23:33:24	478/478	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Sep%202018%2017:33:04%20GMT	https://pinterest.com/pin/create/button/?url=http://hireanhacker.com/single-post-custom-two/%26media=http://hireanhacker.com/wp-content/uploads/2016/06/pexels-photo-27610.jpg	G:/hire%20an%20hacker/pinterest.com/pin/create/button/index05d3.html	(from http://pinterest.com/pin/create/button/?url=http://hireanhacker.com/single-post-custom-two/&media=http://hireanhacker.com/wp-content/uploads/2016/06/pexels-photo-27610.jpg)
23:33:24	2827/2827	---MC-	200	added ('OK')	application/rss+xml	etag:%223f773b3fd2b3bb3ee760af4bf6b50235%22	http://hireanhacker.com/tag/fashion/feed/	G:/hire%20an%20hacker/hireanhacker.com/tag/fashion/feed/index.html	(from http://hireanhacker.com/tag/fashion/)
23:33:25	804/804	---MC-	200	added ('OK')	application/rss+xml	etag:%22f072f11af23567c45527ae22e794d73b%22	http://hireanhacker.com/this-is-an-awesome-sticky-post/feed/	G:/hire%20an%20hacker/hireanhacker.com/this-is-an-awesome-sticky-post/feed/index.html	(from http://hireanhacker.com/this-is-an-awesome-sticky-post/)
23:33:25	647684/647684	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Thu,%2015%20Feb%202018%2015:30:48%20GMT	http://hireanhacker.com/wp-content/uploads/2016/06/pexels-photo-27610.jpg	G:/hire%20an%20hacker/hireanhacker.com/wp-content/uploads/2016/06/pexels-photo-27610.jpg	(from http://hireanhacker.com/single-post-custom-two/)
23:33:26	2386/2386	---MCZ	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2017:33:06%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Fthis-is-an-awesome-sticky-post%2F	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed34e6.json	(from http://hireanhacker.com/this-is-an-awesome-sticky-post/)
23:33:27	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.32e.delayed	(from http://hireanhacker.com/this-is-an-awesome-sticky-post/)
23:33:27	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.32f.delayed	(from http://hireanhacker.com/this-is-an-awesome-sticky-post/)
23:33:28	2468/2468	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Sep%202018%2017:33:08%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Fthis-is-an-awesome-sticky-post%2F&format=xml	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed78a6	(from http://hireanhacker.com/this-is-an-awesome-sticky-post/)
23:33:29	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:09%20GMT	http://hireanhacker.com/this-is-an-awesome-sticky-post/?share=google-plus-1	G:/hire%20an%20hacker/hireanhacker.com/this-is-an-awesome-sticky-post/index386f.html	(from http://hireanhacker.com/this-is-an-awesome-sticky-post/)
23:33:29	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:09%20GMT	http://hireanhacker.com/this-is-an-awesome-sticky-post/?share=twitter	G:/hire%20an%20hacker/hireanhacker.com/this-is-an-awesome-sticky-post/index9a7b.html	(from http://hireanhacker.com/this-is-an-awesome-sticky-post/)
23:33:29	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:10%20GMT	http://hireanhacker.com/this-is-an-awesome-sticky-post/?share=facebook	G:/hire%20an%20hacker/hireanhacker.com/this-is-an-awesome-sticky-post/index5a58.html	(from http://hireanhacker.com/this-is-an-awesome-sticky-post/)
23:33:30	2442/2442	---MCZ	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2017:33:10%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Fstandard-post-type%2F	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embedacc4.json	(from http://hireanhacker.com/standard-post-type/)
23:33:31	768/768	---MC-	200	added ('OK')	application/rss+xml	etag:%22f072f11af23567c45527ae22e794d73b%22	http://hireanhacker.com/standard-post-type/feed/	G:/hire%20an%20hacker/hireanhacker.com/standard-post-type/feed/index.html	(from http://hireanhacker.com/standard-post-type/)
23:33:31	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.332.delayed	(from http://hireanhacker.com/standard-post-type/)
23:33:31	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.333.delayed	(from http://hireanhacker.com/standard-post-type/)
23:33:32	2576/2576	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Sep%202018%2017:33:11%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Fstandard-post-type%2F&format=xml	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed363b	(from http://hireanhacker.com/standard-post-type/)
23:33:32	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:12%20GMT	http://hireanhacker.com/standard-post-type/?share=facebook	G:/hire%20an%20hacker/hireanhacker.com/standard-post-type/index5a58.html	(from http://hireanhacker.com/standard-post-type/)
23:33:32	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:12%20GMT	http://hireanhacker.com/standard-post-type/?share=twitter	G:/hire%20an%20hacker/hireanhacker.com/standard-post-type/index9a7b.html	(from http://hireanhacker.com/standard-post-type/)
23:33:32	494/494	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Sep%202018%2017:33:13%20GMT	http://pinterest.com/pin/create/button/?url=http://hireanhacker.com/standard-post-type/&media=http://hireanhacker.com/wp-content/uploads/2016/06/photo-1441716844725-09cedc13a4e7.jpg	G:/hire%20an%20hacker/pinterest.com/pin/create/button/index3ec7.html	(from http://hireanhacker.com/standard-post-type/)
23:33:33	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:13%20GMT	http://hireanhacker.com/standard-post-type/?share=google-plus-1	G:/hire%20an%20hacker/hireanhacker.com/standard-post-type/index386f.html	(from http://hireanhacker.com/standard-post-type/)
23:33:33	2437/2437	---MCZ	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2017:33:13%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Fvideo-post-format%2F	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embedcc25.json	(from http://hireanhacker.com/video-post-format/)
23:33:34	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.336.delayed	(from http://hireanhacker.com/video-post-format/)
23:33:34	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.337.delayed	(from http://hireanhacker.com/video-post-format/)
23:33:35	765/765	---MC-	200	added ('OK')	application/rss+xml	etag:%22f072f11af23567c45527ae22e794d73b%22	http://hireanhacker.com/video-post-format/feed/	G:/hire%20an%20hacker/hireanhacker.com/video-post-format/feed/index.html	(from http://hireanhacker.com/video-post-format/)
23:33:35	2571/2571	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Sep%202018%2017:33:14%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Fvideo-post-format%2F&format=xml	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed9396	(from http://hireanhacker.com/video-post-format/)
23:33:36	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:16%20GMT	http://hireanhacker.com/video-post-format/?share=facebook	G:/hire%20an%20hacker/hireanhacker.com/video-post-format/index5a58.html	(from http://hireanhacker.com/video-post-format/)
23:33:36	492/492	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Sep%202018%2017:33:16%20GMT	http://pinterest.com/pin/create/button/?url=http://hireanhacker.com/video-post-format/&media=http://hireanhacker.com/wp-content/uploads/2016/06/photo-1417021423914-070979c8eb34.jpg	G:/hire%20an%20hacker/pinterest.com/pin/create/button/indexb04e.html	(from http://hireanhacker.com/video-post-format/)
23:33:36	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:16%20GMT	http://hireanhacker.com/video-post-format/?share=twitter	G:/hire%20an%20hacker/hireanhacker.com/video-post-format/index9a7b.html	(from http://hireanhacker.com/video-post-format/)
23:33:37	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:17%20GMT	http://hireanhacker.com/video-post-format/?share=google-plus-1	G:/hire%20an%20hacker/hireanhacker.com/video-post-format/index386f.html	(from http://hireanhacker.com/video-post-format/)
23:33:37	762/762	---MC-	200	added ('OK')	application/rss+xml	etag:%22f072f11af23567c45527ae22e794d73b%22	http://hireanhacker.com/link-post-format/feed/	G:/hire%20an%20hacker/hireanhacker.com/link-post-format/feed/index.html	(from http://hireanhacker.com/link-post-format/)
23:33:38	2316/2316	---MCZ	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2017:33:18%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Flink-post-format%2F	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed9eb2.json	(from http://hireanhacker.com/link-post-format/)
23:33:39	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.33a.delayed	(from http://hireanhacker.com/link-post-format/)
23:33:39	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.33b.delayed	(from http://hireanhacker.com/link-post-format/)
23:33:40	2398/2398	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Sep%202018%2017:33:20%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Flink-post-format%2F&format=xml	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed55b3	(from http://hireanhacker.com/link-post-format/)
23:33:41	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:21%20GMT	http://hireanhacker.com/link-post-format/?share=facebook	G:/hire%20an%20hacker/hireanhacker.com/link-post-format/index5a58.html	(from http://hireanhacker.com/link-post-format/)
23:33:41	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:21%20GMT	http://hireanhacker.com/link-post-format/?share=google-plus-1	G:/hire%20an%20hacker/hireanhacker.com/link-post-format/index386f.html	(from http://hireanhacker.com/link-post-format/)
23:33:41	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:22%20GMT	http://hireanhacker.com/link-post-format/?share=twitter	G:/hire%20an%20hacker/hireanhacker.com/link-post-format/index9a7b.html	(from http://hireanhacker.com/link-post-format/)
23:33:42	2453/2453	---MCZ	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2017:33:22%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Fgallery-post-format%2F	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed0ec4.json	(from http://hireanhacker.com/gallery-post-format/)
23:33:42	771/771	---MC-	200	added ('OK')	application/rss+xml	etag:%22f072f11af23567c45527ae22e794d73b%22	http://hireanhacker.com/gallery-post-format/feed/	G:/hire%20an%20hacker/hireanhacker.com/gallery-post-format/feed/index.html	(from http://hireanhacker.com/gallery-post-format/)
23:33:43	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.33e.delayed	(from http://hireanhacker.com/gallery-post-format/)
23:33:43	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.33f.delayed	(from http://hireanhacker.com/gallery-post-format/)
23:33:44	2542/2542	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Sep%202018%2017:33:24%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Fgallery-post-format%2F&format=xml	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed9a51	(from http://hireanhacker.com/gallery-post-format/)
23:33:45	496/496	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Sep%202018%2017:33:25%20GMT	http://pinterest.com/pin/create/button/?url=http://hireanhacker.com/gallery-post-format/&media=http://hireanhacker.com/wp-content/uploads/2016/06/photo-1447876394678-42a7efa1b6db.jpg	G:/hire%20an%20hacker/pinterest.com/pin/create/button/index24d7.html	(from http://hireanhacker.com/gallery-post-format/)
23:33:45	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:25%20GMT	http://hireanhacker.com/gallery-post-format/?share=google-plus-1	G:/hire%20an%20hacker/hireanhacker.com/gallery-post-format/index386f.html	(from http://hireanhacker.com/gallery-post-format/)
23:33:45	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:25%20GMT	http://hireanhacker.com/gallery-post-format/?share=facebook	G:/hire%20an%20hacker/hireanhacker.com/gallery-post-format/index5a58.html	(from http://hireanhacker.com/gallery-post-format/)
